drug_key,y_hard,OR,feature_set,algorithm,cluster
sulfasalazine,1,1,GSVA,kmeans,0
sulindac,1,1,GSVA,kmeans,0
tamoxifen,1,1,GSVA,kmeans,0
terbinafine,1,1,GSVA,kmeans,1
tetracycline,1,1,GSVA,kmeans,0
theophylline,0,0,GSVA,kmeans,0
thioridazine,1,1,GSVA,kmeans,0
ticlopidine,1,1,GSVA,kmeans,1
tolbutamide,1,1,GSVA,kmeans,0
triamterene,1,0,GSVA,kmeans,0
valproicacid,1,0,GSVA,kmeans,0
vitamina,1,1,GSVA,kmeans,0
acarbose,1,0,GSVA,agglo,0
acetaminophen,1,1,GSVA,agglo,1
acetazolamide,1,0,GSVA,agglo,0
adapin,1,1,GSVA,agglo,0
allopurinol,1,0,GSVA,agglo,0
amiodarone,1,1,GSVA,agglo,0
amitriptyline,1,1,GSVA,agglo,0
amphotericinb,1,0,GSVA,agglo,0
aspirin,1,1,GSVA,agglo,1
azathioprine,1,1,GSVA,agglo,0
bendazac,1,1,GSVA,agglo,1
benzbromarone,1,1,GSVA,agglo,1
benziodarone,1,1,GSVA,agglo,0
bortezomib,1,1,GSVA,agglo,0
caffeine,0,0,GSVA,agglo,0
captopril,1,0,GSVA,agglo,0
carbamazepine,1,1,GSVA,agglo,1
carbontetrachloride,1,1,GSVA,agglo,0
carboplatin,1,0,GSVA,agglo,0
chlormezanone,1,1,GSVA,agglo,1
chlorpheniramine,0,0,GSVA,agglo,0
chlorpromazine,1,1,GSVA,agglo,0
chlorpropamide,1,1,GSVA,agglo,0
cimetidine,1,1,GSVA,agglo,0
ciprofloxacin,1,0,GSVA,agglo,0
cisplatin,1,0,GSVA,agglo,0
clofibrate,1,1,GSVA,agglo,1
clomipramine,1,1,GSVA,agglo,0
cyclophosphamide,1,0,GSVA,agglo,0
cyclosporinea,1,0,GSVA,agglo,0
danazol,1,1,GSVA,agglo,1
dantrolene,1,1,GSVA,agglo,1
diazepam,1,1,GSVA,agglo,1
diclofenac,1,0,GSVA,agglo,0
diltiazem,1,1,GSVA,agglo,1
disopyramide,1,0,GSVA,agglo,1
disulfiram,1,1,GSVA,agglo,1
doxorubicin,1,0,GSVA,agglo,0
enalapril,1,1,GSVA,agglo,0
ethambutol,1,1,GSVA,agglo,1
ethanol,1,1,GSVA,agglo,0
ethionamide,1,1,GSVA,agglo,1
etoposide,1,0,GSVA,agglo,0
famotidine,1,0,GSVA,agglo,0
fenofibrate,1,1,GSVA,agglo,1
fluphenazine,0,0,GSVA,agglo,0
flutamide,1,1,GSVA,agglo,1
gefitinib,1,1,GSVA,agglo,0
gemfibrozil,1,1,GSVA,agglo,1
gentamicin,0,0,GSVA,agglo,0
glibenclamide,1,0,GSVA,agglo,0
griseofulvin,1,1,GSVA,agglo,0
haloperidol,1,0,GSVA,agglo,0
hexachlorobenzene,1,1,GSVA,agglo,0
hydroxyzine,0,1,GSVA,agglo,0
ibuprofen,1,1,GSVA,agglo,0
imatinibmethanesulfonatesalt,1,0,GSVA,agglo,0
imipramine,1,1,GSVA,agglo,0
indomethacin,1,1,GSVA,agglo,0
iproniazid,1,1,GSVA,agglo,0
isoniazid,1,1,GSVA,agglo,0
ketoconazole,1,1,GSVA,agglo,0
labetalol,1,0,GSVA,agglo,0
lomustine,1,1,GSVA,agglo,0
mefenamicacid,1,1,GSVA,agglo,0
meloxicam,1,1,GSVA,agglo,0
metformin,1,1,GSVA,agglo,0
methimazole,1,1,GSVA,agglo,1
methyldopa,1,0,GSVA,agglo,0
methyltestosterone,1,1,GSVA,agglo,1
mexiletine,1,0,GSVA,agglo,0
moxisylyte,1,1,GSVA,agglo,0
naproxen,1,1,GSVA,agglo,0
nicotinicacid,1,1,GSVA,agglo,0
nifedipine,1,1,GSVA,agglo,1
nimesulide,1,1,GSVA,agglo,1
nitrofurantoin,1,0,GSVA,agglo,0
omeprazole,1,1,GSVA,agglo,1
papaverine,1,1,GSVA,agglo,0
pemoline,1,0,GSVA,agglo,0
penicillamine,1,0,GSVA,agglo,0
perhexiline,1,0,GSVA,agglo,0
phenobarbital,1,1,GSVA,agglo,0
phenytoin,1,1,GSVA,agglo,0
propranolol,0,0,GSVA,agglo,0
propylthiouracil,1,1,GSVA,agglo,0
quinidine,1,1,GSVA,agglo,0
ranitidine,1,0,GSVA,agglo,0
rifampicin,1,1,GSVA,agglo,0
simvastatin,1,1,GSVA,agglo,1
sulfasalazine,1,1,GSVA,agglo,0
sulindac,1,1,GSVA,agglo,0
tamoxifen,1,1,GSVA,agglo,0
terbinafine,1,1,GSVA,agglo,1
tetracycline,1,1,GSVA,agglo,0
theophylline,0,0,GSVA,agglo,0
thioridazine,1,1,GSVA,agglo,0
ticlopidine,1,1,GSVA,agglo,1
tolbutamide,1,1,GSVA,agglo,0
triamterene,1,0,GSVA,agglo,0
valproicacid,1,0,GSVA,agglo,0
vitamina,1,1,GSVA,agglo,0
acarbose,1,0,ssGSEA,kmeans,1
acetaminophen,1,1,ssGSEA,kmeans,0
acetazolamide,1,0,ssGSEA,kmeans,1
adapin,1,1,ssGSEA,kmeans,1
allopurinol,1,0,ssGSEA,kmeans,1
amiodarone,1,1,ssGSEA,kmeans,0
amitriptyline,1,1,ssGSEA,kmeans,0
amphotericinb,1,0,ssGSEA,kmeans,1
aspirin,1,1,ssGSEA,kmeans,0
azathioprine,1,1,ssGSEA,kmeans,1
bendazac,1,1,ssGSEA,kmeans,0
benzbromarone,1,1,ssGSEA,kmeans,0
benziodarone,1,1,ssGSEA,kmeans,0
bortezomib,1,1,ssGSEA,kmeans,1
caffeine,0,0,ssGSEA,kmeans,1
captopril,1,0,ssGSEA,kmeans,1
carbamazepine,1,1,ssGSEA,kmeans,0
carbontetrachloride,1,1,ssGSEA,kmeans,0
carboplatin,1,0,ssGSEA,kmeans,1
chlormezanone,1,1,ssGSEA,kmeans,0
chlorpheniramine,0,0,ssGSEA,kmeans,1
chlorpromazine,1,1,ssGSEA,kmeans,1
chlorpropamide,1,1,ssGSEA,kmeans,0
cimetidine,1,1,ssGSEA,kmeans,1
ciprofloxacin,1,0,ssGSEA,kmeans,1
cisplatin,1,0,ssGSEA,kmeans,1
clofibrate,1,1,ssGSEA,kmeans,0
clomipramine,1,1,ssGSEA,kmeans,1
cyclophosphamide,1,0,ssGSEA,kmeans,1
cyclosporinea,1,0,ssGSEA,kmeans,0
danazol,1,1,ssGSEA,kmeans,0
dantrolene,1,1,ssGSEA,kmeans,0
diazepam,1,1,ssGSEA,kmeans,0
diclofenac,1,0,ssGSEA,kmeans,1
diltiazem,1,1,ssGSEA,kmeans,0
disopyramide,1,0,ssGSEA,kmeans,0
disulfiram,1,1,ssGSEA,kmeans,0
doxorubicin,1,0,ssGSEA,kmeans,1
enalapril,1,1,ssGSEA,kmeans,0
ethambutol,1,1,ssGSEA,kmeans,0
ethanol,1,1,ssGSEA,kmeans,1
ethionamide,1,1,ssGSEA,kmeans,0
etoposide,1,0,ssGSEA,kmeans,1
famotidine,1,0,ssGSEA,kmeans,1
fenofibrate,1,1,ssGSEA,kmeans,0
fluphenazine,0,0,ssGSEA,kmeans,1
flutamide,1,1,ssGSEA,kmeans,0
gefitinib,1,1,ssGSEA,kmeans,1
gemfibrozil,1,1,ssGSEA,kmeans,0
gentamicin,0,0,ssGSEA,kmeans,1
glibenclamide,1,0,ssGSEA,kmeans,0
griseofulvin,1,1,ssGSEA,kmeans,0
haloperidol,1,0,ssGSEA,kmeans,0
hexachlorobenzene,1,1,ssGSEA,kmeans,1
hydroxyzine,0,1,ssGSEA,kmeans,1
ibuprofen,1,1,ssGSEA,kmeans,1
imatinibmethanesulfonatesalt,1,0,ssGSEA,kmeans,1
imipramine,1,1,ssGSEA,kmeans,1
indomethacin,1,1,ssGSEA,kmeans,1
iproniazid,1,1,ssGSEA,kmeans,1
isoniazid,1,1,ssGSEA,kmeans,1
ketoconazole,1,1,ssGSEA,kmeans,0
labetalol,1,0,ssGSEA,kmeans,1
lomustine,1,1,ssGSEA,kmeans,1
mefenamicacid,1,1,ssGSEA,kmeans,1
meloxicam,1,1,ssGSEA,kmeans,1
metformin,1,1,ssGSEA,kmeans,1
methimazole,1,1,ssGSEA,kmeans,0
methyldopa,1,0,ssGSEA,kmeans,1
methyltestosterone,1,1,ssGSEA,kmeans,0
mexiletine,1,0,ssGSEA,kmeans,1
moxisylyte,1,1,ssGSEA,kmeans,0
naproxen,1,1,ssGSEA,kmeans,1
nicotinicacid,1,1,ssGSEA,kmeans,1
nifedipine,1,1,ssGSEA,kmeans,0
nimesulide,1,1,ssGSEA,kmeans,0
nitrofurantoin,1,0,ssGSEA,kmeans,1
omeprazole,1,1,ssGSEA,kmeans,0
papaverine,1,1,ssGSEA,kmeans,0
pemoline,1,0,ssGSEA,kmeans,1
penicillamine,1,0,ssGSEA,kmeans,1
perhexiline,1,0,ssGSEA,kmeans,0
phenobarbital,1,1,ssGSEA,kmeans,0
phenytoin,1,1,ssGSEA,kmeans,0
propranolol,0,0,ssGSEA,kmeans,0
propylthiouracil,1,1,ssGSEA,kmeans,0
quinidine,1,1,ssGSEA,kmeans,0
ranitidine,1,0,ssGSEA,kmeans,0
rifampicin,1,1,ssGSEA,kmeans,1
simvastatin,1,1,ssGSEA,kmeans,0
sulfasalazine,1,1,ssGSEA,kmeans,1
sulindac,1,1,ssGSEA,kmeans,1
tamoxifen,1,1,ssGSEA,kmeans,0
terbinafine,1,1,ssGSEA,kmeans,0
tetracycline,1,1,ssGSEA,kmeans,1
theophylline,0,0,ssGSEA,kmeans,0
thioridazine,1,1,ssGSEA,kmeans,0
ticlopidine,1,1,ssGSEA,kmeans,0
tolbutamide,1,1,ssGSEA,kmeans,0
triamterene,1,0,ssGSEA,kmeans,1
valproicacid,1,0,ssGSEA,kmeans,0
vitamina,1,1,ssGSEA,kmeans,1
acarbose,1,0,ssGSEA,agglo,1
acetaminophen,1,1,ssGSEA,agglo,0
acetazolamide,1,0,ssGSEA,agglo,0
adapin,1,1,ssGSEA,agglo,0
allopurinol,1,0,ssGSEA,agglo,1
amiodarone,1,1,ssGSEA,agglo,0
amitriptyline,1,1,ssGSEA,agglo,0
amphotericinb,1,0,ssGSEA,agglo,0
aspirin,1,1,ssGSEA,agglo,0
azathioprine,1,1,ssGSEA,agglo,0
bendazac,1,1,ssGSEA,agglo,0
benzbromarone,1,1,ssGSEA,agglo,0
benziodarone,1,1,ssGSEA,agglo,0
bortezomib,1,1,ssGSEA,agglo,1
caffeine,0,0,ssGSEA,agglo,0
captopril,1,0,ssGSEA,agglo,0
carbamazepine,1,1,ssGSEA,agglo,0
carbontetrachloride,1,1,ssGSEA,agglo,0
carboplatin,1,0,ssGSEA,agglo,1
chlormezanone,1,1,ssGSEA,agglo,0
chlorpheniramine,0,0,ssGSEA,agglo,1
chlorpromazine,1,1,ssGSEA,agglo,0
chlorpropamide,1,1,ssGSEA,agglo,0
cimetidine,1,1,ssGSEA,agglo,1
ciprofloxacin,1,0,ssGSEA,agglo,0
cisplatin,1,0,ssGSEA,agglo,0
clofibrate,1,1,ssGSEA,agglo,0
clomipramine,1,1,ssGSEA,agglo,1
cyclophosphamide,1,0,ssGSEA,agglo,0
cyclosporinea,1,0,ssGSEA,agglo,0
danazol,1,1,ssGSEA,agglo,0
dantrolene,1,1,ssGSEA,agglo,0
diazepam,1,1,ssGSEA,agglo,0
diclofenac,1,0,ssGSEA,agglo,1
diltiazem,1,1,ssGSEA,agglo,0
disopyramide,1,0,ssGSEA,agglo,0
disulfiram,1,1,ssGSEA,agglo,0
doxorubicin,1,0,ssGSEA,agglo,0
enalapril,1,1,ssGSEA,agglo,0
ethambutol,1,1,ssGSEA,agglo,0
ethanol,1,1,ssGSEA,agglo,1
ethionamide,1,1,ssGSEA,agglo,0
etoposide,1,0,ssGSEA,agglo,1
famotidine,1,0,ssGSEA,agglo,1
fenofibrate,1,1,ssGSEA,agglo,0
fluphenazine,0,0,ssGSEA,agglo,0
flutamide,1,1,ssGSEA,agglo,0
gefitinib,1,1,ssGSEA,agglo,0
gemfibrozil,1,1,ssGSEA,agglo,0
gentamicin,0,0,ssGSEA,agglo,1
glibenclamide,1,0,ssGSEA,agglo,0
griseofulvin,1,1,ssGSEA,agglo,0
haloperidol,1,0,ssGSEA,agglo,0
hexachlorobenzene,1,1,ssGSEA,agglo,1
hydroxyzine,0,1,ssGSEA,agglo,0
ibuprofen,1,1,ssGSEA,agglo,1
imatinibmethanesulfonatesalt,1,0,ssGSEA,agglo,1
imipramine,1,1,ssGSEA,agglo,0
indomethacin,1,1,ssGSEA,agglo,1
iproniazid,1,1,ssGSEA,agglo,0
isoniazid,1,1,ssGSEA,agglo,0
ketoconazole,1,1,ssGSEA,agglo,0
labetalol,1,0,ssGSEA,agglo,0
lomustine,1,1,ssGSEA,agglo,1
mefenamicacid,1,1,ssGSEA,agglo,1
meloxicam,1,1,ssGSEA,agglo,1
metformin,1,1,ssGSEA,agglo,1
methimazole,1,1,ssGSEA,agglo,0
methyldopa,1,0,ssGSEA,agglo,0
methyltestosterone,1,1,ssGSEA,agglo,0
mexiletine,1,0,ssGSEA,agglo,0
moxisylyte,1,1,ssGSEA,agglo,0
naproxen,1,1,ssGSEA,agglo,1
nicotinicacid,1,1,ssGSEA,agglo,0
nifedipine,1,1,ssGSEA,agglo,0
nimesulide,1,1,ssGSEA,agglo,0
nitrofurantoin,1,0,ssGSEA,agglo,0
omeprazole,1,1,ssGSEA,agglo,0
papaverine,1,1,ssGSEA,agglo,0
pemoline,1,0,ssGSEA,agglo,1
penicillamine,1,0,ssGSEA,agglo,0
perhexiline,1,0,ssGSEA,agglo,0
phenobarbital,1,1,ssGSEA,agglo,0
phenytoin,1,1,ssGSEA,agglo,0
propranolol,0,0,ssGSEA,agglo,0
propylthiouracil,1,1,ssGSEA,agglo,0
quinidine,1,1,ssGSEA,agglo,0
ranitidine,1,0,ssGSEA,agglo,0
rifampicin,1,1,ssGSEA,agglo,0
simvastatin,1,1,ssGSEA,agglo,0
sulfasalazine,1,1,ssGSEA,agglo,0
sulindac,1,1,ssGSEA,agglo,1
tamoxifen,1,1,ssGSEA,agglo,0
terbinafine,1,1,ssGSEA,agglo,0
tetracycline,1,1,ssGSEA,agglo,0
theophylline,0,0,ssGSEA,agglo,0
thioridazine,1,1,ssGSEA,agglo,0
ticlopidine,1,1,ssGSEA,agglo,0
tolbutamide,1,1,ssGSEA,agglo,0
triamterene,1,0,ssGSEA,agglo,1
valproicacid,1,0,ssGSEA,agglo,0
vitamina,1,1,ssGSEA,agglo,1
acarbose,1,0,Mean,kmeans,0
acetaminophen,1,1,Mean,kmeans,0
acetazolamide,1,0,Mean,kmeans,0
adapin,1,1,Mean,kmeans,0
allopurinol,1,0,Mean,kmeans,0
amiodarone,1,1,Mean,kmeans,0
amitriptyline,1,1,Mean,kmeans,0
amphotericinb,1,0,Mean,kmeans,0
aspirin,1,1,Mean,kmeans,0
azathioprine,1,1,Mean,kmeans,0
bendazac,1,1,Mean,kmeans,0
benzbromarone,1,1,Mean,kmeans,0
benziodarone,1,1,Mean,kmeans,0
bortezomib,1,1,Mean,kmeans,1
caffeine,0,0,Mean,kmeans,0
captopril,1,0,Mean,kmeans,0
carbamazepine,1,1,Mean,kmeans,0
carbontetrachloride,1,1,Mean,kmeans,0
carboplatin,1,0,Mean,kmeans,0
chlormezanone,1,1,Mean,kmeans,0
chlorpheniramine,0,0,Mean,kmeans,0
chlorpromazine,1,1,Mean,kmeans,0
chlorpropamide,1,1,Mean,kmeans,0
cimetidine,1,1,Mean,kmeans,0
ciprofloxacin,1,0,Mean,kmeans,0
cisplatin,1,0,Mean,kmeans,0
clofibrate,1,1,Mean,kmeans,0
clomipramine,1,1,Mean,kmeans,0
cyclophosphamide,1,0,Mean,kmeans,0
cyclosporinea,1,0,Mean,kmeans,0
danazol,1,1,Mean,kmeans,0
dantrolene,1,1,Mean,kmeans,0
diazepam,1,1,Mean,kmeans,0
diclofenac,1,0,Mean,kmeans,0
diltiazem,1,1,Mean,kmeans,0
disopyramide,1,0,Mean,kmeans,0
disulfiram,1,1,Mean,kmeans,0
doxorubicin,1,0,Mean,kmeans,0
enalapril,1,1,Mean,kmeans,0
ethambutol,1,1,Mean,kmeans,0
ethanol,1,1,Mean,kmeans,0
ethionamide,1,1,Mean,kmeans,0
etoposide,1,0,Mean,kmeans,0
famotidine,1,0,Mean,kmeans,0
fenofibrate,1,1,Mean,kmeans,0
fluphenazine,0,0,Mean,kmeans,0
flutamide,1,1,Mean,kmeans,0
gefitinib,1,1,Mean,kmeans,0
gemfibrozil,1,1,Mean,kmeans,0
gentamicin,0,0,Mean,kmeans,0
glibenclamide,1,0,Mean,kmeans,0
griseofulvin,1,1,Mean,kmeans,0
haloperidol,1,0,Mean,kmeans,0
hexachlorobenzene,1,1,Mean,kmeans,0
hydroxyzine,0,1,Mean,kmeans,0
ibuprofen,1,1,Mean,kmeans,0
imatinibmethanesulfonatesalt,1,0,Mean,kmeans,0
imipramine,1,1,Mean,kmeans,0
indomethacin,1,1,Mean,kmeans,0
iproniazid,1,1,Mean,kmeans,0
isoniazid,1,1,Mean,kmeans,0
ketoconazole,1,1,Mean,kmeans,0
labetalol,1,0,Mean,kmeans,0
lomustine,1,1,Mean,kmeans,0
mefenamicacid,1,1,Mean,kmeans,0
meloxicam,1,1,Mean,kmeans,0
metformin,1,1,Mean,kmeans,0
methimazole,1,1,Mean,kmeans,0
methyldopa,1,0,Mean,kmeans,0
methyltestosterone,1,1,Mean,kmeans,0
mexiletine,1,0,Mean,kmeans,0
moxisylyte,1,1,Mean,kmeans,0
naproxen,1,1,Mean,kmeans,0
nicotinicacid,1,1,Mean,kmeans,0
nifedipine,1,1,Mean,kmeans,0
nimesulide,1,1,Mean,kmeans,0
nitrofurantoin,1,0,Mean,kmeans,0
omeprazole,1,1,Mean,kmeans,0
papaverine,1,1,Mean,kmeans,0
pemoline,1,0,Mean,kmeans,0
penicillamine,1,0,Mean,kmeans,0
perhexiline,1,0,Mean,kmeans,0
phenobarbital,1,1,Mean,kmeans,0
phenytoin,1,1,Mean,kmeans,0
propranolol,0,0,Mean,kmeans,0
propylthiouracil,1,1,Mean,kmeans,0
quinidine,1,1,Mean,kmeans,0
ranitidine,1,0,Mean,kmeans,0
rifampicin,1,1,Mean,kmeans,0
simvastatin,1,1,Mean,kmeans,0
sulfasalazine,1,1,Mean,kmeans,0
sulindac,1,1,Mean,kmeans,0
tamoxifen,1,1,Mean,kmeans,0
terbinafine,1,1,Mean,kmeans,0
tetracycline,1,1,Mean,kmeans,0
theophylline,0,0,Mean,kmeans,0
thioridazine,1,1,Mean,kmeans,0
ticlopidine,1,1,Mean,kmeans,0
tolbutamide,1,1,Mean,kmeans,0
triamterene,1,0,Mean,kmeans,0
valproicacid,1,0,Mean,kmeans,0
vitamina,1,1,Mean,kmeans,0
acarbose,1,0,Mean,agglo,0
acetaminophen,1,1,Mean,agglo,0
acetazolamide,1,0,Mean,agglo,0
adapin,1,1,Mean,agglo,0
allopurinol,1,0,Mean,agglo,0
amiodarone,1,1,Mean,agglo,0
amitriptyline,1,1,Mean,agglo,0
amphotericinb,1,0,Mean,agglo,0
aspirin,1,1,Mean,agglo,0
azathioprine,1,1,Mean,agglo,0
bendazac,1,1,Mean,agglo,0
benzbromarone,1,1,Mean,agglo,0
benziodarone,1,1,Mean,agglo,0
bortezomib,1,1,Mean,agglo,1
caffeine,0,0,Mean,agglo,0
captopril,1,0,Mean,agglo,0
carbamazepine,1,1,Mean,agglo,0
carbontetrachloride,1,1,Mean,agglo,0
carboplatin,1,0,Mean,agglo,0
chlormezanone,1,1,Mean,agglo,0
chlorpheniramine,0,0,Mean,agglo,0
chlorpromazine,1,1,Mean,agglo,0
chlorpropamide,1,1,Mean,agglo,0
cimetidine,1,1,Mean,agglo,0
ciprofloxacin,1,0,Mean,agglo,0
cisplatin,1,0,Mean,agglo,0
clofibrate,1,1,Mean,agglo,0
clomipramine,1,1,Mean,agglo,0
cyclophosphamide,1,0,Mean,agglo,0
cyclosporinea,1,0,Mean,agglo,0
danazol,1,1,Mean,agglo,0
dantrolene,1,1,Mean,agglo,0
diazepam,1,1,Mean,agglo,0
diclofenac,1,0,Mean,agglo,0
diltiazem,1,1,Mean,agglo,0
disopyramide,1,0,Mean,agglo,0
disulfiram,1,1,Mean,agglo,0
doxorubicin,1,0,Mean,agglo,0
enalapril,1,1,Mean,agglo,0
ethambutol,1,1,Mean,agglo,0
ethanol,1,1,Mean,agglo,0
ethionamide,1,1,Mean,agglo,0
etoposide,1,0,Mean,agglo,0
famotidine,1,0,Mean,agglo,0
fenofibrate,1,1,Mean,agglo,0
fluphenazine,0,0,Mean,agglo,0
flutamide,1,1,Mean,agglo,0
gefitinib,1,1,Mean,agglo,0
gemfibrozil,1,1,Mean,agglo,0
gentamicin,0,0,Mean,agglo,0
glibenclamide,1,0,Mean,agglo,0
griseofulvin,1,1,Mean,agglo,0
haloperidol,1,0,Mean,agglo,0
hexachlorobenzene,1,1,Mean,agglo,0
hydroxyzine,0,1,Mean,agglo,0
ibuprofen,1,1,Mean,agglo,0
imatinibmethanesulfonatesalt,1,0,Mean,agglo,0
imipramine,1,1,Mean,agglo,0
indomethacin,1,1,Mean,agglo,0
iproniazid,1,1,Mean,agglo,0
isoniazid,1,1,Mean,agglo,0
ketoconazole,1,1,Mean,agglo,0
labetalol,1,0,Mean,agglo,0
lomustine,1,1,Mean,agglo,0
mefenamicacid,1,1,Mean,agglo,0
meloxicam,1,1,Mean,agglo,0
metformin,1,1,Mean,agglo,0
methimazole,1,1,Mean,agglo,0
methyldopa,1,0,Mean,agglo,0
methyltestosterone,1,1,Mean,agglo,0
mexiletine,1,0,Mean,agglo,0
moxisylyte,1,1,Mean,agglo,0
naproxen,1,1,Mean,agglo,0
nicotinicacid,1,1,Mean,agglo,0
nifedipine,1,1,Mean,agglo,0
nimesulide,1,1,Mean,agglo,0
nitrofurantoin,1,0,Mean,agglo,0
omeprazole,1,1,Mean,agglo,0
papaverine,1,1,Mean,agglo,0
pemoline,1,0,Mean,agglo,0
penicillamine,1,0,Mean,agglo,0
perhexiline,1,0,Mean,agglo,0
phenobarbital,1,1,Mean,agglo,0
phenytoin,1,1,Mean,agglo,0
propranolol,0,0,Mean,agglo,0
propylthiouracil,1,1,Mean,agglo,0
quinidine,1,1,Mean,agglo,0
ranitidine,1,0,Mean,agglo,0
rifampicin,1,1,Mean,agglo,0
simvastatin,1,1,Mean,agglo,0
sulfasalazine,1,1,Mean,agglo,0
sulindac,1,1,Mean,agglo,0
tamoxifen,1,1,Mean,agglo,0
terbinafine,1,1,Mean,agglo,0
tetracycline,1,1,Mean,agglo,0
theophylline,0,0,Mean,agglo,0
thioridazine,1,1,Mean,agglo,0
ticlopidine,1,1,Mean,agglo,0
tolbutamide,1,1,Mean,agglo,0
triamterene,1,0,Mean,agglo,0
valproicacid,1,0,Mean,agglo,0
vitamina,1,1,Mean,agglo,0
acarbose,1,0,Median,kmeans,0
acetaminophen,1,1,Median,kmeans,0
acetazolamide,1,0,Median,kmeans,0
adapin,1,1,Median,kmeans,0
allopurinol,1,0,Median,kmeans,0
amiodarone,1,1,Median,kmeans,0
amitriptyline,1,1,Median,kmeans,0
amphotericinb,1,0,Median,kmeans,0
aspirin,1,1,Median,kmeans,0
azathioprine,1,1,Median,kmeans,0
bendazac,1,1,Median,kmeans,0
benzbromarone,1,1,Median,kmeans,0
benziodarone,1,1,Median,kmeans,0
bortezomib,1,1,Median,kmeans,1
caffeine,0,0,Median,kmeans,0
captopril,1,0,Median,kmeans,0
carbamazepine,1,1,Median,kmeans,0
carbontetrachloride,1,1,Median,kmeans,0
